fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.995203836930455225e-04
0.000000000000000000e+00,1.798561151079136784e-03
0.000000000000000000e+00,3.597122302158273568e-03
0.000000000000000000e+00,4.796163069544364180e-03
0.000000000000000000e+00,2.637889688249400386e-02
0.000000000000000000e+00,2.877697841726618855e-02
0.000000000000000000e+00,2.937649880095923385e-02
0.000000000000000000e+00,3.057553956834532446e-02
0.000000000000000000e+00,3.177458033573141161e-02
0.000000000000000000e+00,3.537170263788969038e-02
0.000000000000000000e+00,3.717026378896882283e-02
0.000000000000000000e+00,3.836930455635491344e-02
0.000000000000000000e+00,4.496402877697841527e-02
0.000000000000000000e+00,4.616306954436450588e-02
0.000000000000000000e+00,5.395683453237409832e-02
0.000000000000000000e+00,5.515587529976018893e-02
0.000000000000000000e+00,5.755395683453237710e-02
0.000000000000000000e+00,5.875299760191846771e-02
0.000000000000000000e+00,6.235011990407673954e-02
0.000000000000000000e+00,6.534772182254196260e-02
0.000000000000000000e+00,6.894484412470024137e-02
0.000000000000000000e+00,7.074340527577938076e-02
0.000000000000000000e+00,7.134292565947242259e-02
0.000000000000000000e+00,7.254196642685850627e-02
0.000000000000000000e+00,7.374100719424460382e-02
0.000000000000000000e+00,7.613908872901678504e-02
0.000000000000000000e+00,9.952038369304556931e-02
0.000000000000000000e+00,1.007194244604316530e-01
0.000000000000000000e+00,1.013189448441246948e-01
0.000000000000000000e+00,1.025179856115107924e-01
0.000000000000000000e+00,1.121103117505995173e-01
0.000000000000000000e+00,1.139088729016786566e-01
0.000000000000000000e+00,1.145083932853716985e-01
0.000000000000000000e+00,1.157074340527577960e-01
0.000000000000000000e+00,1.252997601918465209e-01
0.000000000000000000e+00,1.264988009592326046e-01
0.000000000000000000e+00,1.336930455635491621e-01
0.000000000000000000e+00,1.354916067146282876e-01
0.000000000000000000e+00,1.384892086330935246e-01
0.000000000000000000e+00,1.402877697841726501e-01
0.000000000000000000e+00,1.408872901678657197e-01
0.000000000000000000e+00,1.516786570743405282e-01
0.000000000000000000e+00,1.540767386091127233e-01
0.000000000000000000e+00,1.546762589928057652e-01
0.000000000000000000e+00,1.576738609112709744e-01
0.000000000000000000e+00,1.582733812949640162e-01
0.000000000000000000e+00,1.648681055155875319e-01
0.000000000000000000e+00,1.660671462829736156e-01
0.000000000000000000e+00,1.678657074340527688e-01
0.000000000000000000e+00,1.690647482014388525e-01
0.000000000000000000e+00,1.798561151079136611e-01
0.000000000000000000e+00,1.810551558752997725e-01
0.000000000000000000e+00,1.888489208633093441e-01
0.000000000000000000e+00,1.960431654676259017e-01
0.000000000000000000e+00,2.092326139088729053e-01
0.000000000000000000e+00,2.182254196642685884e-01
0.000000000000000000e+00,2.254196642685851182e-01
0.000000000000000000e+00,2.290167865707433970e-01
0.000000000000000000e+00,2.350119904076738708e-01
0.000000000000000000e+00,2.368105515587529963e-01
0.000000000000000000e+00,2.380095923261390800e-01
0.000000000000000000e+00,2.386091127098321218e-01
0.000000000000000000e+00,2.416067146282973588e-01
0.000000000000000000e+00,2.452038369304556376e-01
0.000000000000000000e+00,2.505995203836930418e-01
0.000000000000000000e+00,2.523980815347721673e-01
0.000000000000000000e+00,2.529976019184652092e-01
0.000000000000000000e+00,2.553956834532374320e-01
0.000000000000000000e+00,2.571942446043165575e-01
0.000000000000000000e+00,2.589928057553956831e-01
0.000000000000000000e+00,2.619904076738608922e-01
0.000000000000000000e+00,2.673860911270983243e-01
0.000000000000000000e+00,2.709832134292565753e-01
0.000000000000000000e+00,2.721822541966426590e-01
0.000000000000000000e+00,2.727817745803357563e-01
0.000000000000000000e+00,2.763788968824940073e-01
0.000000000000000000e+00,2.895683453237409832e-01
0.000000000000000000e+00,2.919664268585132061e-01
0.000000000000000000e+00,2.943645083932853734e-01
0.000000000000000000e+00,2.955635491606714571e-01
0.000000000000000000e+00,2.985611510791366663e-01
0.000000000000000000e+00,2.997601918465228055e-01
0.000000000000000000e+00,3.015587529976019310e-01
0.000000000000000000e+00,3.027577937649880147e-01
0.000000000000000000e+00,3.045563549160671402e-01
0.000000000000000000e+00,3.057553956834532238e-01
0.000000000000000000e+00,3.081534772182254467e-01
0.000000000000000000e+00,3.099520383693045722e-01
0.000000000000000000e+00,3.123501199040767395e-01
0.000000000000000000e+00,3.135491606714628232e-01
0.000000000000000000e+00,3.291366906474820220e-01
0.000000000000000000e+00,3.303357314148681056e-01
0.000000000000000000e+00,3.369304556354916214e-01
0.000000000000000000e+00,3.387290167865707469e-01
0.000000000000000000e+00,3.441247002398081789e-01
0.000000000000000000e+00,3.453237410071942626e-01
0.000000000000000000e+00,3.615107913669064477e-01
0.000000000000000000e+00,3.639088729016786705e-01
0.000000000000000000e+00,3.663069544364508379e-01
0.000000000000000000e+00,3.675059952038369215e-01
0.000000000000000000e+00,3.764988009592326046e-01
0.000000000000000000e+00,3.776978417266186883e-01
0.000000000000000000e+00,3.818944844124700366e-01
0.000000000000000000e+00,3.830935251798561203e-01
0.000000000000000000e+00,3.860911270983213295e-01
0.000000000000000000e+00,3.884892086330935523e-01
0.000000000000000000e+00,3.926858513189448452e-01
0.000000000000000000e+00,3.950839328537170125e-01
0.000000000000000000e+00,3.956834532374100544e-01
0.000000000000000000e+00,3.980815347721822772e-01
0.000000000000000000e+00,3.998800959232614027e-01
0.000000000000000000e+00,4.046762589928057374e-01
0.000000000000000000e+00,4.106714628297362113e-01
0.000000000000000000e+00,4.118705035971222950e-01
0.000000000000000000e+00,4.136690647482014205e-01
0.000000000000000000e+00,4.154676258992806015e-01
0.000000000000000000e+00,4.160671462829736433e-01
0.000000000000000000e+00,4.172661870503597270e-01
0.000000000000000000e+00,4.208633093525179780e-01
0.000000000000000000e+00,4.244604316546762846e-01
0.000000000000000000e+00,4.268585131894484519e-01
0.000000000000000000e+00,4.328537170263788703e-01
0.000000000000000000e+00,4.352517985611510931e-01
0.000000000000000000e+00,4.358513189448441350e-01
0.000000000000000000e+00,4.370503597122302186e-01
0.000000000000000000e+00,4.376498800959232605e-01
0.000000000000000000e+00,4.394484412470023860e-01
0.000000000000000000e+00,4.454436450839328598e-01
0.000000000000000000e+00,4.514388489208633337e-01
0.000000000000000000e+00,4.532374100719424592e-01
0.000000000000000000e+00,4.538369304556355011e-01
0.000000000000000000e+00,4.550359712230215847e-01
0.000000000000000000e+00,4.556354916067146266e-01
0.000000000000000000e+00,4.568345323741007102e-01
0.000000000000000000e+00,4.610311750599520586e-01
0.000000000000000000e+00,4.622302158273381423e-01
0.000000000000000000e+00,4.640287769784172678e-01
0.000000000000000000e+00,4.652278177458033515e-01
0.000000000000000000e+00,4.658273381294963933e-01
0.000000000000000000e+00,4.676258992805755188e-01
0.000000000000000000e+00,4.688249400479616580e-01
0.000000000000000000e+00,4.730215827338129508e-01
0.000000000000000000e+00,4.742206235011990345e-01
0.000000000000000000e+00,4.754196642685851182e-01
0.000000000000000000e+00,4.766187050359712019e-01
0.000000000000000000e+00,4.772182254196642437e-01
0.000000000000000000e+00,4.796163069544364665e-01
0.000000000000000000e+00,4.862110311750599267e-01
0.000000000000000000e+00,4.898081534772182333e-01
0.000000000000000000e+00,4.904076738609112751e-01
0.000000000000000000e+00,4.916067146282973588e-01
0.000000000000000000e+00,5.077937649880095439e-01
0.000000000000000000e+00,5.107913669064748641e-01
0.000000000000000000e+00,5.113908872901679059e-01
0.000000000000000000e+00,5.125899280575539896e-01
0.000000000000000000e+00,5.167865707434052824e-01
0.000000000000000000e+00,5.179856115107913661e-01
0.000000000000000000e+00,5.245803357314148263e-01
0.000000000000000000e+00,5.275779376498801465e-01
0.000000000000000000e+00,5.311750599520383975e-01
0.000000000000000000e+00,5.323741007194244812e-01
0.000000000000000000e+00,5.365707434052757741e-01
0.000000000000000000e+00,5.377697841726618577e-01
0.000000000000000000e+00,5.485611510791367218e-01
0.000000000000000000e+00,5.497601918465228055e-01
0.000000000000000000e+00,5.575539568345323493e-01
0.000000000000000000e+00,5.587529976019184330e-01
0.000000000000000000e+00,5.773381294964028410e-01
0.000000000000000000e+00,5.791366906474819665e-01
0.000000000000000000e+00,5.947242206235011652e-01
0.000000000000000000e+00,5.965227817745802907e-01
0.000000000000000000e+00,6.055155875299760293e-01
0.000000000000000000e+00,6.067146282973621130e-01
0.000000000000000000e+00,6.252997601918465209e-01
0.000000000000000000e+00,6.270983213429256464e-01
0.000000000000000000e+00,7.026378896882493619e-01
0.000000000000000000e+00,7.038369304556354455e-01
0.000000000000000000e+00,7.092326139088729331e-01
0.000000000000000000e+00,7.104316546762590168e-01
0.000000000000000000e+00,7.176258992805755188e-01
0.000000000000000000e+00,7.188249400479616025e-01
0.000000000000000000e+00,7.206235011990407280e-01
0.000000000000000000e+00,7.218225419664268117e-01
0.000000000000000000e+00,7.230215827338128953e-01
0.000000000000000000e+00,7.242206235011990900e-01
0.000000000000000000e+00,7.296163069544364665e-01
0.000000000000000000e+00,7.314148681055155921e-01
0.000000000000000000e+00,7.356115107913668849e-01
0.000000000000000000e+00,7.368105515587529686e-01
0.000000000000000000e+00,7.428057553956834980e-01
0.000000000000000000e+00,7.440047961630695816e-01
0.000000000000000000e+00,7.458033573141487071e-01
0.000000000000000000e+00,7.470023980815347908e-01
