,missing_count,missing_pct
insulin_use,10852,90.941087739881
diabetes_pills,9652,80.88494092013744
current_smoker,8690,72.82326321964301
phosphorus,5611,47.02086650465097
bicarbonate,5608,46.99572613760161
blood_urea_nitrogen,5607,46.98734601525182
serum_creatinine,5607,46.98734601525182
egfr,5607,46.98734601525182
uric_acid,5604,46.96220564820246
calcium,5571,46.685661610659515
albumin_serum,5567,46.65214112126037
bp_diastolic,4416,37.00662029665633
bp_systolic,4416,37.00662029665633
education_level,4139,34.68532640576553
ever_smoked,3798,31.827704684488396
urine_albumin,3780,31.67686248219224
albumin_creatinine_ratio,3780,31.67686248219224
urine_creatinine,3779,31.668482359842454
bmi,3462,29.011983574960194
height_cm,3434,28.777340149166175
weight_kg,3179,26.640408949970666
poverty_income_ratio,2041,17.10382971591385
diabetes_diagnosed,193,1.6173636135087572
age,189,1.5838431241096118
ethnicity,0,0.0
gender,0,0.0
participant_id,0,0.0
ckd_stage,0,0.0
ckd_present,0,0.0
