fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.796163069544364180e-03
0.000000000000000000e+00,8.393285371702637748e-03
0.000000000000000000e+00,1.199040767386091132e-02
0.000000000000000000e+00,1.258992805755395662e-02
0.000000000000000000e+00,1.498800959232613958e-02
0.000000000000000000e+00,1.558752997601918489e-02
0.000000000000000000e+00,1.678657074340527550e-02
0.000000000000000000e+00,1.918465227817745672e-02
0.000000000000000000e+00,2.098321342925659611e-02
0.000000000000000000e+00,2.577937649880095855e-02
0.000000000000000000e+00,2.637889688249400386e-02
0.000000000000000000e+00,2.817745803357313977e-02
0.000000000000000000e+00,2.937649880095923385e-02
0.000000000000000000e+00,2.997601918465227916e-02
0.000000000000000000e+00,3.117505995203836977e-02
0.000000000000000000e+00,3.297362110311750916e-02
0.000000000000000000e+00,3.537170263788969038e-02
0.000000000000000000e+00,3.717026378896882283e-02
0.000000000000000000e+00,3.836930455635491344e-02
0.000000000000000000e+00,4.196642685851319221e-02
0.000000000000000000e+00,4.436450839328537343e-02
0.000000000000000000e+00,4.796163069544364527e-02
0.000000000000000000e+00,5.035971223021582649e-02
0.000000000000000000e+00,5.215827338129496588e-02
0.000000000000000000e+00,5.575539568345323771e-02
0.000000000000000000e+00,5.695443645083932832e-02
0.000000000000000000e+00,5.755395683453237710e-02
0.000000000000000000e+00,5.875299760191846771e-02
0.000000000000000000e+00,6.175059952038369077e-02
0.000000000000000000e+00,6.534772182254196260e-02
0.000000000000000000e+00,6.774580335731414382e-02
0.000000000000000000e+00,6.894484412470024137e-02
0.000000000000000000e+00,7.074340527577938076e-02
0.000000000000000000e+00,7.194244604316546443e-02
0.000000000000000000e+00,7.314148681055156198e-02
0.000000000000000000e+00,7.434052757793764565e-02
0.000000000000000000e+00,7.613908872901678504e-02
0.000000000000000000e+00,7.733812949640288259e-02
0.000000000000000000e+00,7.973621103117506381e-02
0.000000000000000000e+00,8.273381294964028687e-02
0.000000000000000000e+00,8.513189448441246809e-02
0.000000000000000000e+00,8.693045563549160748e-02
0.000000000000000000e+00,8.812949640287769115e-02
0.000000000000000000e+00,8.872901678657074687e-02
0.000000000000000000e+00,8.992805755395683054e-02
0.000000000000000000e+00,9.352517985611510931e-02
0.000000000000000000e+00,9.592326139088729053e-02
0.000000000000000000e+00,9.712230215827338808e-02
0.000000000000000000e+00,9.892086330935251359e-02
0.000000000000000000e+00,1.001199040767386111e-01
0.000000000000000000e+00,1.019184652278177505e-01
0.000000000000000000e+00,1.037170263788968760e-01
0.000000000000000000e+00,1.061151079136690711e-01
0.000000000000000000e+00,1.073141486810551548e-01
0.000000000000000000e+00,1.079136690647481966e-01
0.000000000000000000e+00,1.091127098321342942e-01
0.000000000000000000e+00,1.097122302158273360e-01
0.000000000000000000e+00,1.109112709832134336e-01
0.000000000000000000e+00,1.115107913669064754e-01
0.000000000000000000e+00,1.139088729016786566e-01
0.000000000000000000e+00,1.157074340527577960e-01
0.000000000000000000e+00,1.175059952038369354e-01
0.000000000000000000e+00,1.193045563549160609e-01
0.000000000000000000e+00,1.205035971223021585e-01
